Species,Genus,Family,Population,Longitude,Latitude,Average Female adult weight (g),SD Female adult weight (g),Sample Size Female adult weight,Mean F SVL adults (mm),SD F SVL adults (mm),Sample size Mean F SVL adults,F SVL at maturity (mm),Offspring SVL (mm),Mean Clutch Size,Sample size Clutch Size.,Mode of reproduction,Clutches per year,Clutch Frequency,RCM,Foraging Mode,Distribution,Prefered Habitat Type,Source
Mabuya heathi,Mabuya,Scincidae,"Monte Alegre de Sergipe, 2010-2011",-37.56,-10.03,NA,NA,NA,58.177,9.4,4,44.66,43.36,2.75,4,Viviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Mabuya heathi,Mabuya,Scincidae,"Raso da Catarina, 2012",-38.67,-9.67,6.23,1.05,3,66.847,3.38,3,64.03,36.32,3.667,3,Viviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Mabuya mabouya,Mabuya,Scincidae,Dominica,-61.37,15.41,NA,NA,NA,NA,NA,NA,65,29,3.3,NA,Viviparous,NA,NA,NA,Active,Tropical,Terrestrial,(Somma and Brooks 1976)
Mabuya macrorhyncha,Mabuya,Scincidae,Barra de Marica,-42.77,-22.95,NA,NA,NA,66.8,NA,NA,NA,NA,2.66,38,Viviparous,NA,2,NA,Active,Tropical,Bromelicolous,(Vanzolini and Rebouìas-Spieker 1976)
Mabuya macrorhyncha,Mabuya,Scincidae,Alcatrazes,-45.69583,-24.09583,NA,NA,NA,NA,NA,NA,NA,NA,2.33,3,Viviparous,NA,NA,NA,Active,Tropical,Bromelicolous,(Rocha and Vrcibradic 1999)
Mabuya macrorhyncha,Mabuya,Scincidae,Buzios,-41.88,-22.75,NA,NA,NA,NA,NA,NA,NA,NA,3.3,35,Viviparous,NA,NA,NA,Active,Tropical,Bromelicolous,(Vanzolini and Rebouìas-Spieker 1976)
Mabuya macrorhyncha,Mabuya,Scincidae,Enseada,-46.23,-23.98,NA,NA,NA,NA,NA,NA,NA,NA,2.4,11,Viviparous,NA,NA,NA,Active,Tropical,Bromelicolous,(Vanzolini and Rebouìas-Spieker 1976)
Mabuya macrorhyncha,Mabuya,Scincidae,Peruibe,-47.00417,-24.32083,NA,NA,NA,NA,NA,NA,NA,NA,3.2,12,Viviparous,NA,NA,NA,Active,Tropical,Bromelicolous,(Vanzolini and Rebouìas-Spieker 1976)
Mabuya macrorhyncha,Mabuya,Scincidae,Queimada Grande,47.02083,-24.32083,NA,NA,NA,NA,NA,NA,NA,NA,2.2,51,Viviparous,NA,NA,NA,Active,Tropical,Bromelicolous,(Vanzolini and Rebouìas-Spieker 1976)
Mabuya macrorhyncha,Mabuya,Scincidae,Vitoria,-40.3,-20.32,NA,NA,NA,NA,NA,NA,NA,NA,3.4,5,Viviparous,NA,NA,NA,Active,Tropical,Bromelicolous,(Vanzolini and Rebouìas-Spieker 1976)
Mabuya macrorhyncha,Mabuya,Scincidae,"Raso da Catarina, 2012",-38.67,-9.67,3.64,1,5,58.708,4.97,5,52.09,40.14,2,5,Viviparous,1,1,NA,Active,Tropical,Bromelicolous,Present work
Mabuya macrorhyncha,Mabuya,Scincidae,"Rio Tinto, 2009-2010",-35.08,-6.8,5.5,4.1,3,75.833,4.2,3,71,60,4.667,3,Viviparous,1,1,NA,Active,Tropical,Bromelicolous,Present work
Mabuya nigropunctata,Mabuya,Scincidae,Brasilia,-47.93,-15.78,NA,NA,NA,82.66,NA,NA,NA,33.4,5.3,9,Viviparous,1,1,NA,Active,Tropical,Terrestrial,(Pinto 1999b)
