Species,Genus,Family,Population,Longitude,Latitude,Average Female adult weight (g),SD Female adult weight (g),Sample Size Female adult weight,Mean F SVL adults (mm),SD F SVL adults (mm),Sample size Mean F SVL adults,F SVL at maturity (mm),Offspring SVL (mm),Mean Clutch Size,Sample size Clutch Size.,Mode of reproduction,Clutches per year,Clutch Frequency,RCM,Foraging Mode,Distribution,Prefered Habitat Type,Source
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"Santa Quiteria, 2011",-40.15,-4.33,9.525,4.33,8,72.82,12.7,8,59,32.2,3.4,5,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus sp.,Cnemidophorus,Teiidae,"Raso da Catarina, 2012",-38.67,-9.67,9.129,1.73,26,72.16,2.52,26,65.79,31.68,1.667,3,Oviparous,1,1,0.111,Active,Tropical,Terrestrial,Present work
Crocodilurus amazonicus,Crocodilurus,Teiidae,"Humaita, 1991 - 2003",-63.03,-7.51,250,33.15,12,211.67,7.48,12,205,80,5.67,3,Oviparous,1,1,0.132,Active,Tropical,Aquatic,Present work
Kentropyx altamazonica,Kentropyx,Teiidae,Departamento Amazonas,-78.11,-5.12,NA,NA,NA,84.18,NA,NA,78,31,5.33,12,Oviparous,1,1,NA,Active,Tropical,Terrestrial,(Werneck et al. 2009)
Kentropyx altamazonica,Kentropyx,Teiidae,PEGM 1998,-64.56,-10.32,28.154,4.69,15,87.308,6.65,15,72,54,7,1,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Kentropyx altamazonica,Kentropyx,Teiidae,"Rio Ituxi, 1997",-65.72,-8.33,19.967,6.5,15,89.267,8.01,15,75,44,5.4,15,Oviparous,2,2,0.184,Active,Tropical,Terrestrial,Present work
Kentropyx borckiana,Kentropyx,Teiidae,Demerara,-61.26,10.63,NA,NA,NA,84,NA,NA,84,75,3,2,Oviparous,1,1,NA,Active,Tropical,Terrestrial,(Werneck et al. 2009)
Kentropyx calcarata,Kentropyx,Teiidae,Amapa,-55.99,-4.27,NA,NA,NA,93.67,NA,NA,87,37,3.11,9,Oviparous,1,1,NA,Active,Tropical,Terrestrial,(Werneck et al. 2009)
Kentropyx calcarata,Kentropyx,Teiidae,Guajara-Mirim,-65.33,-10.79,NA,NA,NA,93.26,NA,NA,73,36,4.04,27,Oviparous,1,1,NA,Active,Tropical,Terrestrial,(Werneck et al. 2009)
Kentropyx calcarata,Kentropyx,Teiidae,"Cemex, Para, 95",-54.83,-3.15,31.867,7.55,12,98.25,6.58,12,88,68,6.667,12,Oviparous,1,1,0.204,Active,Tropical,Terrestrial,(Werneck et al. 2009)
Kentropyx calcarata,Kentropyx,Teiidae,PEGM 1998,-64.56,-10.32,30.3,7.82,13,98.692,9.78,13,80,37,6.7,10,Oviparous,1,1,0.157,Active,Tropical,Terrestrial,Present work
Kentropyx calcarata,Kentropyx,Teiidae,"Humaita, 1991 - 2003",-63.03,-7.51,15.25,0.35,2,83.5,1.73,4,82,44,5,1,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Kentropyx calcarata,Kentropyx,Teiidae,"Mamanguape, 2009-2010",-35.12,-6.83,21.75,1.06,3,91,2.65,3,89,34,4.667,3,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Kentropyx calcarata,Kentropyx,Teiidae,"Rio Tinto, 2009-2010",-35.08,-6.8,21.679,10.12,45,82.997,17.48,46,42,33.99,5.208,24,Oviparous,2,2,0.098,Active,Tropical,Terrestrial,Present work
Kentropyx paulensis,Kentropyx,Teiidae,Itirapina,-47.82,-22.25,10.63,NA,NA,70.22,NA,NA,63.8,NA,4.2,NA,Oviparous,1,1,0.265,Active,Tropical,Terrestrial,(Werneck et al. 2009)
Kentropyx paulensis,Kentropyx,Teiidae,Alcinopolis,-53.7,-18.32,NA,NA,NA,77,4.285,17,72,67,3.5,6,Oviparous,1,1,NA,Active,Tropical,Terrestrial,(Anjos et al. 2002)
Kentropyx pelviceps,Kentropyx,Teiidae,Cuyabeno,-78.52,-0.29,NA,NA,NA,105,NA,NA,NA,NA,6.5,11,Oviparous,NA,2,NA,Active,Tropical,Terrestrial,(Vitt et al. 1995)
Kentropyx pelviceps,Kentropyx,Teiidae,Departamento Amazonas,-78.11,-5.12,NA,NA,NA,107.33,NA,NA,101,53,2.55,11,Oviparous,1,1,NA,Active,Tropical,Terrestrial,(Werneck et al. 2009)
Kentropyx pelviceps,Kentropyx,Teiidae,"Acre, 1996",-72.78,-8.26,26.678,8.596187786,9,102.22,10.8371788,9,85,40,6,6,Oviparous,1,1,0.162,Active,Tropical,Terrestrial,(Vitt et al. 1995)
Kentropyx pelviceps,Kentropyx,Teiidae,"Brazil, Amazonas, 1998-1999",-59.9,-3.52,25.825,7.49,20,96.167,13.94,20,44,44,5.286,7,Oviparous,1,1,NA,Active,Tropical,Arboreal,(Werneck et al. 2009)
Kentropyx pelviceps,Kentropyx,Teiidae,"Rio Ituxi, 1997",-65.72,-8.33,30.714,7.3,7,98.714,7.89,7,82,40,5.2,5,Oviparous,1,1,0.172,Active,Tropical,Terrestrial,Present work
Kentropyx striata,Kentropyx,Teiidae,Boa Vista,-60.67,2.82,NA,NA,NA,86,NA,NA,NA,NA,5.3,21,Oviparous,NA,2,NA,Active,Tropical,Arboreal,(Werneck et al. 2009)
Kentropyx striata,Kentropyx,Teiidae,Alto Alegre,-61.49,2.9,NA,NA,NA,85.7,NA,NA,82,49,2.27,11,Oviparous,1,1,NA,Active,Tropical,Terrestrial,(Vitt and Carvalho 1992)
Kentropyx striata,Kentropyx,Teiidae,Boa Vista,-60.67,2.82,15.27,NA,NA,86.43,NA,NA,80,51,2.67,9,Oviparous,1,1,NA,Active,Tropical,Terrestrial,(Werneck et al. 2009)
Kentropyx striata,Kentropyx,Teiidae,"Roraima 1991, Boa Vista",-60.67,2.83,14.181,4.54,36,78.135,9.42,52,51,31,5,19,Oviparous,2,2,0.093,Active,Tropical,Terrestrial,Present work
Kentropyx striata,Kentropyx,Teiidae,"Boa Vista, 1992",-60.67,2.82,17.083,4.47,6,86.5,5.54,6,80,78,5.29,7,Oviparous,2,2,0.207,Active,Tropical,Terrestrial,Present work
Kentropyx vanzoi,Kentropyx,Teiidae,Vilhena,-60.13,-12.74,NA,NA,NA,46.91,NA,NA,NA,NA,3,2,Oviparous,NA,NA,NA,Active,Tropical,Arboreal,(Vitt and Caldwell 1993)
Kentropyx vanzoi,Kentropyx,Teiidae,Vilhena,-60.13,-12.74,4.109,NA,NA,53,NA,NA,43,36,1.31,39,Oviparous,1,1,NA,Active,Tropical,Terrestrial,(Werneck et al. 2009)
Eurolophosaurus nanuzae,Eurolophosaurus,Tropiduridae,Serra do Cipo,-43.62,-19.35,NA,NA,NA,52.2,NA,NA,44.7,32,2.06,51,Oviparous,2,2,NA,Sit and wait,Tropical,Saxicolous,(Galdino et al. 2003)
Microlophus albemarlensis,Microlophus,Tropiduridae,Charles Darwin research Station,-90.2875,-0.7375,NA,NA,NA,63,NA,NA,54,NA,2.27,NA,Oviparous,NA,NA,NA,Sit and wait,Tropical,Terrestrial,(Stebbins et al. 1967)
Plica plica,Plica,Tropiduridae,"Cemex, Para, 95",-54.83,-3.15,72.7,21.79,4,134,11.94,4,122,50,2.667,3,Oviparous,1,1,0.096,Sit and wait,Tropical,Arboreal,Present work
Plica plica,Plica,Tropiduridae,PEGM 1998,-64.56,-10.32,91.057,6.39,7,147.714,14.23,7,139,51,4.167,6,Oviparous,1,1,NA,Sit and wait,Tropical,Arboreal,Present work
Plica umbra,Plica,Tropiduridae,"Acre, 1996",-72.78,-8.26,19.45,3.323401872,2,88,7.071067812,2,83,60,2,2,Oviparous,1,1,0.133,Sit and wait,Tropical,Arboreal,Present work
Plica umbra,Plica,Tropiduridae,"Brazil, Amazonas, 1998-1999",-59.9,-3.52,15.957,3.05,4,84.571,7.33,4,75,41,2,6,Oviparous,2,2,0.136,Sit and wait,Tropical,Arboreal,Present work
Plica umbra,Plica,Tropiduridae,"Cemex, Para, 95",-54.83,-3.15,18.38,1.98,5,88.6,3.56,5,84,46,1.833,6,Oviparous,1,1,NA,Sit and wait,Tropical,Arboreal,Present work
Plica umbra,Plica,Tropiduridae,"Rio Ituxi, 1997",-65.72,-8.33,19.45,1.91,4,88.75,0.95,4,88,88,2,4,Oviparous,1,1,0.145,Sit and wait,Tropical,Arboreal,Present work
Stenocercus roseiventris,Stenocercus,Tropiduridae,"Acre, 1996",-72.78,-8.26,25.2,1.9,3,91,4.358898944,3,86,70,2,3,Oviparous,1,1,NA,Sit and wait,Tropical,Arboreal,Present work
Tropidurus cocorobensis,Tropidurus,Tropiduridae,"Catimbau, 2013",-37.25,-8.59,7.674,1.41,38,65.574,4.11,38,56.46,29.18,3.289,38,Oviparous,2,2,0.203,Sit and wait,Tropical,Terrestrial,Present work
Tropidurus cocorobensis,Tropidurus,Tropiduridae,"Raso da Catarina, 2012",-38.67,-9.67,6.412,1.24,26,59.667,3.47,26,54,24.1,2.81,21,Oviparous,2,2,0.155,Sit and wait,Tropical,Terrestrial,Present work
Tropidurus etheridgei,Tropidurus,Tropiduridae,"Alto Araguaia, 1989",-53.22,-17.31,NA,NA,NA,67.5,0.5,45,NA,NA,4.9,45,Oviparous,NA,2,NA,Sit and wait,Tropical,Psammophilus,(Vitt 1991)
Tropidurus hispidus,Tropidurus,Tropiduridae,"Exu, 1977",-39.71,-7.51,NA,NA,NA,90.85,NA,NA,NA,NA,6,95,Oviparous,NA,2,NA,Sit and wait,Tropical,Saxicolous,"(Vitt and Goldberg 1983, Vitt 1995)"
Tropidurus hispidus,Tropidurus,Tropiduridae,"Exu, 1977",-40.17,-7.42,NA,NA,NA,88.5,NA,NA,70,27.8,6,NA,Oviparous,3,2,0.258,Sit and wait,Tropical,Terrestrial,"(Vitt and Goldberg 1983, Vitt 1995)"
Tropidurus hispidus,Tropidurus,Tropiduridae,"Roraima 1991, Boa Vista",-60.67,2.83,14.535,6.02,43,74.814,4.24,43,60,30,3.914,35,Oviparous,1,1,0.157,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus hispidus,Tropidurus,Tropiduridae,Roraima 1993,-62.43,2,19.267,1.34,4,84.33,2.22,4,83,34,5.33,3,Oviparous,1,1,NA,Sit and wait,Tropical,Arboreal,Present work
Tropidurus hispidus,Tropidurus,Tropiduridae,"Barra de Cunhau, 2009-2010",-35.04583,-6.3125,NA,NA,NA,80.23,8.67,39,40,30,6.58,36,Oviparous,2,2,NA,Sit and wait,Tropical,Terrestrial,Present work
Tropidurus hispidus,Tropidurus,Tropiduridae,"Boa Vista, 1992",-60.67,2.82,24.7,2.95,5,85.8,2.77,5,81,32,7.2,5,Oviparous,2,2,0.211,Sit and wait,Tropical,Arboreal,Present work
Tropidurus hispidus,Tropidurus,Tropiduridae,"Cabaceiras, 2009-2010",-36.29,-7.47,NA,NA,NA,82.25,8.14,16,71,41,7.563,16,Oviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,"(Vitt and Goldberg 1983, Vitt 1995)"
Tropidurus hispidus,Tropidurus,Tropiduridae,"Catimbau, 2013",-37.25,-8.59,15.038,7.72,4,80.233,12.86,4,65.99,31.04,1.667,3,Oviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,(Vitt and Goldberg 1983)
Tropidurus hispidus,Tropidurus,Tropiduridae,"Chapada Diamantina, 2013",-41.58,-12.51,19.167,6.31,12,81.257,7.21,12,73.4,35.37,5.6,15,Oviparous,1,1,0.218,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus hispidus,Tropidurus,Tropiduridae,"ESEC Serido, 2013",-37.4,-6.66,21.225,5.91,10,85.903,8.61,10,70,30.87,6.25,4,Oviparous,1,1,0.186,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus hispidus,Tropidurus,Tropiduridae,"Guajara-Mirim, 2001",-65.33,-10.79,11.154,2.11,42,67.92,5.02,42,53.5,33.5,2.73,37,Oviparous,1,1,0.165,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus hispidus,Tropidurus,Tropiduridae,"Joao Pessoa, 2009-2010",-34.86,-7.12,NA,NA,NA,78.3,5.76,50,64,28,5.9,50,Oviparous,2,2,NA,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus hispidus,Tropidurus,Tropiduridae,"Monte Alegre, 2002",-54.08,-2,16.5,4.25,18,80.75,6.69,18,70,33,4.27,15,Oviparous,2,2,0.159,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus hispidus,Tropidurus,Tropiduridae,"Paulo Afonso, 2010-2011",-38.06,-9.48,NA,NA,NA,73.017,5.72,3,66.42,36.1,5,3,Oviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus hispidus,Tropidurus,Tropiduridae,"Raso da Catarina, 2012",-38.67,-9.67,18.375,3.83,6,82.263,6.48,6,74.89,27.28,4,3,Oviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus hispidus,Tropidurus,Tropiduridae,"Rio Tinto, 2009-2010",-35.08,-6.8,9.8,6.76,11,59.35,15.95,11,46.5,27.13,5.75,4,Oviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus hispidus,Tropidurus,Tropiduridae,"Santa Quiteria, 2011",-40.15,-4.33,13.85,5.43,9,76.891,9.99,9,59,25.21,5.75,4,Oviparous,1,1,0.192,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus insulanus,Tropidurus,Tropiduridae,"Cachimbo, 2001",-54.9,-8.95,11.82,2.23,24,70.82,4.99,24,64,52,3.68,22,Oviparous,1,1,0.218,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus itambere,Tropidurus,Tropiduridae,Pirenopolis,-48.96,-15.85,7.64,NA,NA,58.31,NA,NA,52,NA,3.57,35,Oviparous,NA,2,NA,Sit and wait,Tropical,Saxicolous,(Van Sluys 1993)
Tropidurus itambere,Tropidurus,Tropiduridae,Campinas,-47.06,-22.91,NA,NA,NA,71.6,NA,NA,NA,NA,3.5,40,Oviparous,NA,2,NA,Sit and wait,Tropical,Saxicolous,(Van Sluys 1993)
Tropidurus itambere,Tropidurus,Tropiduridae,"Minacu, 1991",-48.3,-13.83,NA,NA,NA,NA,NA,NA,NA,NA,3,11,Oviparous,1,1,0.178,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus itambere,Tropidurus,Tropiduridae,"Paracatu, 2000",-46.88,-17.22,10.181,2.67,54,66.67,4.75,56,58,54,3.98,54,Oviparous,2,2,0.204,Sit and wait,Tropical,Terrestrial,(Faria 2001)
Tropidurus montanus,Tropidurus,Tropiduridae,Serra do Cipo,-43.62,-19.35,NA,NA,NA,73.95,NA,NA,NA,NA,3.48,52,Oviparous,NA,2,NA,Sit and wait,Tropical,Saxicolous,(Van Sluys et al. 2002)
Tropidurus oreadicus,Tropidurus,Tropiduridae,Pirenopolis,-48.96,-15.85,10.7,NA,NA,67.81,NA,NA,59,NA,3.65,26,Oviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,(Vitt 1993)
Tropidurus oreadicus,Tropidurus,Tropiduridae,"Altamira, 1987",-52.21,-3.2,15.3,0.66,21,80.4,1.07,27,NA,NA,4.2,24,Oviparous,NA,2,NA,Sit and wait,Tropical,Saxicolous,(Vitt 1993)
Tropidurus oreadicus,Tropidurus,Tropiduridae,Ariquemes,-63.04,-9.91,NA,NA,NA,89.65,NA,NA,NA,NA,3.5,18,Oviparous,NA,2,NA,Sit and wait,Tropical,Saxicolous,(Vitt 1993)
Tropidurus oreadicus,Tropidurus,Tropiduridae,Santa Barbara,-63.9,-8.77,NA,NA,NA,80,NA,NA,NA,NA,3.4,17,Oviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,(Vitt 1993)
Tropidurus oreadicus,Tropidurus,Tropiduridae,Santa Cruz da Serra,-60.21,-12.79,NA,NA,NA,85.25,NA,NA,NA,NA,3.8,45,Oviparous,NA,2,NA,Sit and wait,Tropical,Saxicolous,(Vitt 1993)
Tropidurus oreadicus,Tropidurus,Tropiduridae,"Carajas, 1992",-50,-6.12,17.667,7.28,4,76.33,7.27,4,70,48,5.33,3,Oviparous,1,1,0.219,Sit and wait,Tropical,Saxicolous,(Faria 2001)
Tropidurus oreadicus,Tropidurus,Tropiduridae,"Dianopolis, 2003",-46.82,-11.63,8.847,1.69,18,65.41,4.21,18,57,57,4.12,17,Oviparous,1,1,0.2,Sit and wait,Tropical,Terrestrial,Present work
Tropidurus oreadicus,Tropidurus,Tropiduridae,"Parana, 2002-2003",-47.88,-12.62,10.35,1.62,2,71,1.41,2,70,37,4.5,2,Oviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus semitaeniatus,Tropidurus,Tropiduridae,"Exu, 1977",-39.71,-7.51,NA,NA,NA,76.7,NA,NA,NA,NA,2,102,Oviparous,NA,2,NA,Sit and wait,Tropical,Saxicolous,"(Vitt and Goldberg 1983, Vitt 1995)"
Tropidurus semitaeniatus,Tropidurus,Tropiduridae,"Exu, 1977",-40.17,-7.42,NA,NA,NA,70.5,NA,NA,58,19,2,NA,Oviparous,3.5,2,0.15,Sit and wait,Tropical,Terrestrial,"(Vitt and Goldberg 1983, Vitt 1995)"
Tropidurus semitaeniatus,Tropidurus,Tropiduridae,"Catimbau, 2013",-37.25,-8.59,6.893,1.12,22,69.689,3.93,22,63.94,35.87,1.625,8,Oviparous,1,1,NA,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus semitaeniatus,Tropidurus,Tropiduridae,"Chapada Diamantina, 2013",-41.58,-12.51,4.9,1.75,7,62.509,3.09,7,58.3,30.44,1.875,8,Oviparous,1,1,0.259,Sit and wait,Tropical,Saxicolous,"(Vitt and Goldberg 1983, Vitt 1995)"
Tropidurus semitaeniatus,Tropidurus,Tropiduridae,"ESEC Serido, 2013",-37.4,-6.66,7.115,0.95,17,65.566,2.92,17,60,60,2,15,Oviparous,1,1,0.219,Sit and wait,Tropical,Saxicolous,(Vitt and Goldberg 1983)
Tropidurus semitaeniatus,Tropidurus,Tropiduridae,"Santa Quiteria, 2011",-40.15,-4.33,9.525,1.52,6,72.2,4.13,6,68,30.36,2.4,5,Oviparous,2,2,0.104,Sit and wait,Tropical,Saxicolous,Present work
Tropidurus spinulosus,Tropidurus,Tropiduridae,"Alto Araguaia, 1989",-53.22,-17.31,NA,NA,NA,86.2,0.3,21,NA,NA,4,21,Oviparous,NA,2,NA,Sit and wait,Tropical,Arboreal,(Vitt 1991)
Tropidurus torquatus,Tropidurus,Tropiduridae,Brasilia,-47.93,-15.78,NA,NA,NA,94.72,NA,NA,NA,NA,6.1,56,Oviparous,NA,2,NA,Sit and wait,Tropical,Saxicolous,"(Pinto 1999a, Wiederhecker et al. 2002)"
Tropidurus torquatus,Tropidurus,Tropiduridae,"Uba, 1992",-42.94,-21.12,21.218,NA,NA,85.09,NA,NA,77,NA,4.91,11,Oviparous,NA,NA,0.25,Sit and wait,Tropical,Saxicolous,Present work
Uracentron flaviceps,Uracentron,Tropiduridae,Cuyabeno,-78.52,-0.29,NA,NA,NA,98.69,NA,NA,NA,NA,2,5,Oviparous,NA,2,NA,Sit and wait,Tropical,Arboreal,(Vitt and Zani 1996)
Uranoscodon superciliosus,Uranoscodon,Tropiduridae,"Cemex, Para, 95",-54.83,-3.15,76.1,13.15,7,133.2,4.65,7,129,52,8.6,5,Oviparous,1,1,NA,Sit and wait,Tropical,Arboreal,Present work
Uranoscodon superciliosus,Uranoscodon,Tropiduridae,PEGM 1998,-64.56,-10.32,83.167,23.73,9,137.111,12.95,9,115,53,9.8,5,Oviparous,1,1,NA,Sit and wait,Tropical,Arboreal,Present work
Uranoscodon superciliosus,Uranoscodon,Tropiduridae,"Rio Ituxi, 1997",-65.72,-8.33,59.6,35.79,2,122.5,21.92,2,107,69,8,1,Oviparous,1,1,NA,Sit and wait,Tropical,Arboreal,Present work
Uranoscodon superciliosus,Uranoscodon,Tropiduridae,Roraima 1993,-62.43,2,99.15,9.47,3,140.5,5.51,3,135,65,11.5,2,Oviparous,1,1,NA,Sit and wait,Tropical,Arboreal,Present work
Varanus eremius,Varanus,Varanidae,Australia,123.09,-27.89,36.94,9.17,40,139.4,11.6,41,110,59,3.82,22,Oviparous,NA,1,0.14,Active,Temperate,Terrestrial,(Pianka 1994)
Varanus gouldii,Varanus,Varanidae,Australia,123.09,-27.89,395.1,134.92,30,312.1,25.12,30,274,101,9.81,16,Oviparous,NA,1,0.14,Active,Temperate,Terrestrial,(Pianka 1994)
Varanus tristis,Varanus,Varanidae,Australia,122.79,-27.85,201.61,41.1,32,252.6,16.07,32,222,72,9.95,19,Oviparous,NA,1,0.162,Active,Temperate,Arboreal,(Pianka 1994)
Xantusia riversiana,Xantusia,Xantusiidae,"San Clemente Island, California",-118.5,32.9,NA,NA,NA,88.4,NA,NA,75,NA,3.76,NA,Viviparous,1,1,0.268,Sit and wait,Temperate,Terrestrial,(Goldberg and Bezy 1974)
Xantusia vigilis,Xantusia,Xantusiidae,"Antelope Valley, Mojave Desert",-118.25,34.75,NA,NA,NA,39,NA,NA,NA,NA,1.78,NA,Viviparous,1,1,NA,Sit and wait,Temperate,Terrestrial,"(Miller 1951, 1954)"
Xantusia vigilis,Xantusia,Xantusiidae,"Antelope Valley, Mojave Desert",-118.25,34.75,NA,NA,NA,41,NA,NA,NA,NA,1.79,NA,Viviparous,1,1,NA,Sit and wait,Temperate,Terrestrial,"(Miller 1951, 1954)"
Xantusia vigilis,Xantusia,Xantusiidae,"Antelope Valley, Mojave Desert",-118.25,34.75,NA,NA,NA,41,NA,NA,NA,NA,1.79,NA,Viviparous,1,1,NA,Sit and wait,Temperate,Terrestrial,"(Miller 1951, 1954)"
Xantusia vigilis,Xantusia,Xantusiidae,"Antelope Valley, Mojave Desert",-118.25,34.75,NA,NA,NA,39,NA,NA,38,23,1.78,NA,Viviparous,1,1,NA,Sit and wait,Temperate,Terrestrial,(Zweifel and Lowe 1966)
Xantusia vigilis,Xantusia,Xantusiidae,"USA, 1962-1964",-118.15,35.12,2.06,0.264,22,46.18,2.17,22,43,23,1.87,148,Viviparous,NA,1,0.112,Active,Temperate,Terrestrial,(Pianka 1986)
Xenosaurus grandis,Xenosaurus,Xenosauridae,"Veracruz, Mexico",-96.13,19.17,NA,NA,NA,113,NA,NA,100,58,5.1,95,Viviparous,1,1,NA,Sit and wait,Temperate,Saxicolous,(Zamora-Abrego et al. 2007)
Xenosaurus grandis,Xenosaurus,Xenosauridae,"Veracruz, Mexico",-96.13,19.17,NA,NA,NA,108.7,NA,NA,87,42,5.7,10,Viviparous,1,1,NA,Sit and wait,Temperate,Saxicolous,(Zamora-Abrego et al. 2007)
Xenosaurus grandis,Xenosaurus,Xenosauridae,"Concepcion Palo, Oaxaca",-96.72,17.06,NA,NA,NA,108.6,NA,NA,100,44,2.4,18,Viviparous,1,1,0.25,Sit and wait,Temperate,Saxicolous,(Zamora-Abrego et al. 2007)
Xenosaurus grandis,Xenosaurus,Xenosauridae,"Cuautlapan, Veracruz",-96.13,19.17,NA,NA,NA,113,NA,NA,100,43,5.1,108,Viviparous,1,1,0.35,Sit and wait,Temperate,Saxicolous,(Zamora-Abrego et al. 2007)
Xenosaurus grandis,Xenosaurus,Xenosauridae,"Ocozocuautla, Chiapas",-93.13,16.76,NA,NA,NA,110.9,NA,NA,99,40,4.5,30,Viviparous,1,1,0.23,Sit and wait,Temperate,Saxicolous,(Zamora-Abrego et al. 2007)
Xenosaurus grandis,Xenosaurus,Xenosauridae,"Puente de Fierro, Oaxaca",-96.72,17.06,NA,NA,NA,114.9,NA,NA,108,45,4.6,11,Viviparous,1,1,0.28,Sit and wait,Temperate,Saxicolous,(Zamora-Abrego et al. 2007)
Xenosaurus grandis,Xenosaurus,Xenosauridae,"San Gabriel Mixtepec, Oaxaca",-96.72,17.06,NA,NA,NA,107,NA,NA,98,42,2.7,24,Viviparous,1,1,0.24,Sit and wait,Temperate,Saxicolous,(Zamora-Abrego et al. 2007)
Xenosaurus grandis,Xenosaurus,Xenosauridae,"San Lucas Camotlan, Oaxaca",-96.72,17.06,NA,NA,NA,113,NA,NA,110,41,5,3,Viviparous,1,1,0.35,Sit and wait,Temperate,Saxicolous,(Zamora-Abrego et al. 2007)
Xenosaurus grandis,Xenosaurus,Xenosauridae,"Sierra de Juarez, Oaxaca",-96.72,17.06,NA,NA,NA,110.2,NA,NA,107,39,5.7,6,Viviparous,1,1,0.2,Sit and wait,Temperate,Saxicolous,"(Ballinger et al. 2000, Smith et al. 2000)"
Xenosaurus grandis,Xenosaurus,Xenosauridae,"Tilaco, Querataro",-99.19,21.17,NA,NA,NA,106.9,NA,NA,92,48,2.1,65,Viviparous,1,1,0.27,Sit and wait,Temperate,Saxicolous,(Goldberg 2009)
Xenosaurus grandis,Xenosaurus,Xenosauridae,"Zoquitlan, Puebla",-98.21,19.04,NA,NA,NA,112.3,NA,NA,109,46,4.3,6,Viviparous,1,1,0.24,Sit and wait,Temperate,Saxicolous,(Zamora-Abrego et al. 2007)
Xenosaurus newmanorum,Xenosaurus,Xenosauridae,"San Luis Potosi, Mexico",-100.99,22.16,NA,NA,NA,117.6,NA,NA,107,NA,2.6,27,Viviparous,1,1,NA,Sit and wait,Temperate,Saxicolous,(Ballinger et al. 2000)
Xenosaurus newmanorum,Xenosaurus,Xenosauridae,"Xilitla, San Luis PotosÉ",-100.99,22.16,NA,NA,NA,117.6,NA,NA,107,49,2.6,24,Viviparous,1,1,0.25,Sit and wait,Temperate,Saxicolous,(Zamora-Abrego et al. 2007)
Xenosaurus phalaroanthereon,Xenosaurus,Xenosauridae,"Oaxaca, Mexico",-96.72,17.06,26.2,NA,NA,110.7,NA,NA,117,65,NA,NA,Viviparous,NA,NA,NA,Sit and wait,Temperate,Saxicolous,(Lemos-Espinal and Smith 2005)
Xenosaurus phalaroanthereon,Xenosaurus,Xenosauridae,"San Juan Acaltepec, Oaxaca",-96.72,17.06,NA,NA,NA,119.2,NA,NA,109,49,2.3,13,Viviparous,1,1,0.16,Sit and wait,Temperate,Saxicolous,(Zamora-Abrego et al. 2007)
Xenosaurus platyceps,Xenosaurus,Xenosauridae,"Tamaulipas, Mexico",-98.84,24.27,NA,NA,NA,110.7,NA,NA,101,NA,2.7,31,Viviparous,1,1,NA,Sit and wait,Temperate,Saxicolous,(Zamora-Abrego et al. 2007)
Xenosaurus platyceps,Xenosaurus,Xenosauridae,"Jaumave, Cidade Vitoria",-99.38,23.41,23.05,NA,NA,113,NA,NA,106,50.5,2.6,4,Oviparous,1,1,NA,Sit and wait,Temperate,Saxicolous,(Lemos-Espinal and Gonzçlez 2000)
Xenosaurus platyceps,Xenosaurus,Xenosauridae,"Queretaro, Mexico",-100.39,20.59,19.4,NA,NA,98.6,NA,NA,92,52,2.7,15,Viviparous,1,1,NA,Sit and wait,Temperate,Saxicolous,(Lemos-Espinal et al. 2004)
Xenosaurus platyceps,Xenosaurus,Xenosauridae,"Tamaulipas, Mexico",-98.84,24.27,NA,NA,NA,NA,NA,NA,NA,50.86,2.46,NA,Viviparous,1,1,0.26,Sit and wait,Temperate,Saxicolous,"(Rojas-Gonzalez et al. 2008, Rojas-Gonzçlez et al. 2008)"
Xenosaurus platyceps,Xenosaurus,Xenosauridae,"Tamaulipas, Mexico",-98.84,24.27,NA,NA,NA,NA,NA,NA,NA,49.55,2.06,NA,Viviparous,1,1,0.21,Sit and wait,Temperate,Saxicolous,"(Rojas-Gonzalez et al. 2008, Rojas-Gonzçlez et al. 2008)"
